data,servico,sentido,id_veiculo,datetime_partida,datetime_chegada,extensao,datetime_partida_gabarito,datetime_chegada_gabarito
2023-01-04,010,V,A72085,2023-01-04 09:06:01,2023-01-04 09:22:02,4.902,2023-01-04 09:03:00,2023-01-04 09:31:00
2023-01-04,010,I,A72037,2023-01-04 09:09:59,2023-01-04 09:28:19,5.505,2023-01-04 09:07:00,2023-01-04 09:30:00
2023-01-04,010,I,A72085,2023-01-04 09:37:39,2023-01-04 10:02:20,5.505,2023-01-04 09:34:00,2023-01-04 10:04:00
2023-01-04,010,V,A72037,2023-01-04 09:38:20,2023-01-04 09:56:40,4.902,2023-01-04 09:32:00,2023-01-04 10:01:00
2023-01-04,010,I,A72037,2023-01-04 10:08:41,2023-01-04 10:28:42,5.505,2023-01-04 10:05:00,2023-01-04 10:33:00
2023-01-04,010,V,A72085,2023-01-04 10:10:20,2023-01-04 10:28:01,4.902,2023-01-04 10:07:00,2023-01-04 10:33:00
2023-01-04,010,I,A72085,2023-01-04 10:38:01,2023-01-04 11:01:02,5.505,2023-01-04 10:35:00,2023-01-04 11:04:00
2023-01-04,010,V,A72037,2023-01-04 10:40:02,2023-01-04 10:59:22,4.902,2023-01-04 10:34:00,2023-01-04 11:04:00
2023-01-04,010,I,A72037,2023-01-04 11:10:23,2023-01-04 11:32:24,5.505,2023-01-04 11:08:00,2023-01-04 11:34:00
2023-01-04,010,V,A72085,2023-01-04 11:10:42,2023-01-04 11:25:03,4.902,2023-01-04 11:06:00,2023-01-04 11:27:00
2023-01-04,010,I,A72085,2023-01-04 11:32:03,2023-01-04 11:56:04,5.505,2023-01-04 11:30:00,2023-01-04 11:58:00
2023-01-04,010,V,A72037,2023-01-04 11:41:24,2023-01-04 11:54:44,4.902,2023-01-04 11:37:00,2023-01-04 11:58:00
2023-01-04,010,I,A72037,2023-01-04 12:04:45,2023-01-04 12:26:25,5.505,2023-01-04 12:02:00,2023-01-04 12:28:00
2023-01-04,010,V,A72085,2023-01-04 12:06:04,2023-01-04 12:25:24,4.902,2023-01-04 12:03:00,2023-01-04 12:30:00
2023-01-04,010,I,A72085,2023-01-04 12:34:45,2023-01-04 13:00:25,5.505,2023-01-04 12:32:00,2023-01-04 13:03:00
2023-01-04,010,V,A72037,2023-01-04 12:35:33,2023-01-04 12:48:33,4.902,2023-01-04 12:32:00,2023-01-04 12:53:00
2023-01-04,010,I,A72037,2023-01-04 12:58:34,2023-01-04 13:22:54,5.505,2023-01-04 12:55:00,2023-01-04 13:26:00
2023-01-04,010,V,A72085,2023-01-04 13:09:46,2023-01-04 13:28:06,4.902,2023-01-04 13:05:00,2023-01-04 13:37:00
2023-01-04,010,V,A72037,2023-01-04 13:34:09,2023-01-04 13:51:30,4.902,2023-01-04 13:31:00,2023-01-04 14:07:00
2023-01-04,010,I,A72085,2023-01-04 13:42:47,2023-01-04 14:02:27,5.505,2023-01-04 13:39:00,2023-01-04 14:05:00
2023-01-04,010,V,A72085,2023-01-04 14:10:27,2023-01-04 14:27:08,4.902,2023-01-04 14:06:00,2023-01-04 14:34:00
2023-01-04,010,I,A72037,2023-01-04 14:14:24,2023-01-04 14:36:44,5.505,2023-01-04 14:09:00,2023-01-04 14:38:00
2023-01-04,010,I,A72085,2023-01-04 14:38:29,2023-01-04 15:00:49,5.505,2023-01-04 14:35:00,2023-01-04 15:04:00
2023-01-04,010,V,A72037,2023-01-04 14:44:25,2023-01-04 15:04:05,4.902,2023-01-04 14:41:00,2023-01-04 15:12:00
2023-01-04,010,V,A72085,2023-01-04 15:09:10,2023-01-04 15:25:30,4.902,2023-01-04 15:06:00,2023-01-04 15:34:00
2023-01-04,010,I,A72037,2023-01-04 15:16:54,2023-01-04 15:46:35,5.505,2023-01-04 15:14:00,2023-01-04 15:51:00
2023-01-04,010,I,A72085,2023-01-04 15:40:21,2023-01-04 16:05:22,5.505,2023-01-04 15:36:00,2023-01-04 16:08:00
2023-01-04,010,V,A72037,2023-01-04 15:56:36,2023-01-04 16:18:16,4.902,2023-01-04 15:52:00,2023-01-04 16:25:00
2023-01-04,010,V,A72085,2023-01-04 16:13:42,2023-01-04 16:32:23,4.902,2023-01-04 16:10:00,2023-01-04 16:38:00
2023-01-04,010,I,A72037,2023-01-04 16:28:33,2023-01-04 16:56:53,5.505,2023-01-04 16:27:00,2023-01-04 16:59:00
2023-01-04,010,I,A72085,2023-01-04 16:43:39,2023-01-04 17:05:00,5.505,2023-01-04 16:40:00,2023-01-04 17:07:00
2023-01-04,010,V,A72037,2023-01-04 17:04:54,2023-01-04 17:22:54,4.902,2023-01-04 17:01:00,2023-01-04 17:36:00
2023-01-04,010,V,A72085,2023-01-04 17:18:48,2023-01-04 17:35:28,4.902,2023-01-04 17:16:00,2023-01-04 17:49:00
2023-01-04,010,I,A72037,2023-01-04 17:41:47,2023-01-04 18:07:08,5.505,2023-01-04 17:39:00,2023-01-04 18:11:00
2023-01-04,010,I,A72085,2023-01-04 17:57:09,2023-01-04 18:13:09,5.505,2023-01-04 17:51:00,2023-01-04 18:15:00
2023-01-04,010,V,A72037,2023-01-04 18:16:28,2023-01-04 18:38:49,4.902,2023-01-04 18:13:00,2023-01-04 18:49:00
2023-01-04,010,V,A72085,2023-01-04 18:24:38,2023-01-04 18:39:39,4.902,2023-01-04 18:22:00,2023-01-04 19:04:00
2023-01-04,010,I,A72037,2023-01-04 18:51:34,2023-01-04 19:11:35,5.505,2023-01-04 18:49:00,2023-01-04 19:15:00
2023-01-04,010,I,A72085,2023-01-04 19:07:38,2023-01-04 19:24:59,5.505,2023-01-04 19:06:00,2023-01-04 19:28:00
2023-01-04,010,V,A72037,2023-01-04 19:20:15,2023-01-04 19:35:16,4.902,2023-01-04 19:18:00,2023-01-04 19:45:00
2023-01-04,010,V,A72085,2023-01-04 19:40:27,2023-01-04 19:53:07,4.902,2023-01-04 19:38:00,2023-01-04 20:02:00
2023-01-04,010,I,A72037,2023-01-04 19:48:45,2023-01-04 20:05:06,5.505,2023-01-04 19:47:00,2023-01-04 20:07:00
2023-01-04,010,I,A72085,2023-01-04 20:11:04,2023-01-04 20:27:05,5.505,2023-01-04 20:09:00,2023-01-04 20:29:00
2023-01-04,010,V,A72037,2023-01-04 20:17:58,2023-01-04 20:28:38,4.902,2023-01-04 20:14:00,2023-01-04 20:41:00
2023-01-04,010,V,A72085,2023-01-04 20:35:36,2023-01-04 20:47:17,4.902,2023-01-04 20:32:00,2023-01-04 20:54:00
2023-01-04,010,I,A72037,2023-01-04 20:44:08,2023-01-04 20:58:48,5.505,2023-01-04 20:42:00,2023-01-04 21:00:00
2023-01-04,010,I,A72085,2023-01-04 20:57:35,2023-01-04 21:13:16,5.505,2023-01-04 20:56:00,2023-01-04 21:14:00
2023-01-04,010,V,A72037,2023-01-04 21:08:26,2023-01-04 21:17:27,4.902,,
2023-01-04,010,V,A72085,2023-01-04 21:21:55,2023-01-04 21:33:36,4.902,,
2023-01-05,010,I,A72151,2023-01-05 05:38:41,2023-01-05 05:45:56,5.505,,
2023-01-05,010,I,A72037,2023-01-05 06:04:26,2023-01-05 06:15:07,5.505,2023-01-05 06:03:00,2023-01-05 06:18:00
2023-01-05,010,I,A72085,2023-01-05 06:31:29,2023-01-05 06:47:50,5.505,2023-01-05 06:30:00,2023-01-05 06:50:00
2023-01-05,010,V,A72037,2023-01-05 06:34:21,2023-01-05 06:49:21,4.902,2023-01-05 06:31:00,2023-01-05 06:59:00
2023-01-05,010,V,A72085,2023-01-05 07:02:23,2023-01-05 07:15:04,4.902,2023-01-05 06:59:00,2023-01-05 07:26:00
2023-01-05,010,I,A72037,2023-01-05 07:06:52,2023-01-05 07:24:12,5.505,2023-01-05 07:05:00,2023-01-05 07:26:00
2023-01-05,010,I,A72085,2023-01-05 07:30:10,2023-01-05 07:52:07,5.505,2023-01-05 07:28:00,2023-01-05 07:54:00
2023-01-05,010,V,A72037,2023-01-05 07:32:33,2023-01-05 07:47:53,4.902,2023-01-05 07:28:00,2023-01-05 07:58:00
2023-01-05,010,V,A72085,2023-01-05 08:04:19,2023-01-05 08:20:00,4.902,2023-01-05 08:00:00,2023-01-05 08:27:00
2023-01-05,010,I,A72037,2023-01-05 08:04:24,2023-01-05 08:22:44,5.505,2023-01-05 08:02:00,2023-01-05 08:27:00
2023-01-05,010,I,A72085,2023-01-05 08:32:56,2023-01-05 08:54:17,5.505,2023-01-05 08:31:00,2023-01-05 08:56:00
2023-01-05,010,V,A72037,2023-01-05 08:36:25,2023-01-05 08:52:25,4.902,2023-01-05 08:29:00,2023-01-05 08:58:00
2023-01-05,010,V,A72085,2023-01-05 09:03:37,2023-01-05 09:18:18,4.902,2023-01-05 09:00:00,2023-01-05 09:28:00
2023-01-05,010,I,A72037,2023-01-05 09:05:26,2023-01-05 09:22:26,5.505,2023-01-05 09:02:00,2023-01-05 09:26:00
2023-01-05,010,I,A72085,2023-01-05 09:31:39,2023-01-05 09:54:00,5.505,2023-01-05 09:29:00,2023-01-05 09:56:00
2023-01-05,010,V,A72037,2023-01-05 09:35:07,2023-01-05 09:49:07,4.902,2023-01-05 09:28:00,2023-01-05 09:58:00
2023-01-05,010,V,A72085,2023-01-05 10:04:00,2023-01-05 10:18:40,4.902,2023-01-05 10:01:00,2023-01-05 10:27:00
2023-01-05,010,I,A72037,2023-01-05 10:05:28,2023-01-05 10:30:08,5.505,2023-01-05 10:03:00,2023-01-05 10:32:00
2023-01-05,010,I,A72085,2023-01-05 10:30:49,2023-01-05 10:52:30,5.505,2023-01-05 10:28:00,2023-01-05 10:54:00
2023-01-05,010,V,A72037,2023-01-05 10:41:09,2023-01-05 10:59:10,4.902,2023-01-05 10:36:00,2023-01-05 11:07:00
2023-01-05,010,V,A72085,2023-01-05 11:05:30,2023-01-05 11:21:30,4.902,2023-01-05 11:01:00,2023-01-05 11:30:00
2023-01-05,010,I,A72037,2023-01-05 11:16:10,2023-01-05 11:39:51,5.505,2023-01-05 11:12:00,2023-01-05 11:43:00
2023-01-05,010,I,A72085,2023-01-05 11:33:42,2023-01-05 11:52:43,5.505,2023-01-05 11:31:00,2023-01-05 11:56:00
2023-01-05,010,V,A72037,2023-01-05 11:49:51,2023-01-05 12:09:32,4.902,2023-01-05 11:44:00,2023-01-05 12:10:00
2023-01-05,010,V,A72085,2023-01-05 12:05:23,2023-01-05 12:22:24,4.902,2023-01-05 12:01:00,2023-01-05 12:25:00
2023-01-05,010,I,A72037,2023-01-05 12:14:32,2023-01-05 12:40:13,5.505,2023-01-05 12:12:00,2023-01-05 12:43:00
2023-01-05,010,I,A72085,2023-01-05 12:30:44,2023-01-05 12:58:05,5.505,2023-01-05 12:27:00,2023-01-05 13:01:00
