,data,servico,id_veiculo_amostra,hora_inicio,hora_fim,sentido_amostra,datetime_partida_amostra,datetime_chegada_amostra,status,servico_informado,id_veiculo_apurada,sentido_apurada,datetime_partida_apurada,datetime_chegada_apurada
56,2023-07-19,844,47689,13:31:00,13:37:00,V,2023-07-19 13:31:00,2023-07-19 13:37:00,O veículo existe e operou na linha indicada pelo recurso,844,47689,C,2023-07-19 13:32:09,2023-07-19 13:42:39
57,2023-07-19,844,47689,13:48:00,13:54:00,V,2023-07-19 13:48:00,2023-07-19 13:54:00,O veículo existe e operou na linha indicada pelo recurso,844,47689,C,2023-07-19 13:49:09,2023-07-19 13:58:39
58,2023-07-19,844,47689,14:08:00,14:15:00,V,2023-07-19 14:08:00,2023-07-19 14:15:00,O veículo existe e operou na linha indicada pelo recurso,844,47689,C,2023-07-19 14:09:09,2023-07-19 14:22:39
59,2023-07-19,844,47689,14:28:00,14:37:00,V,2023-07-19 14:28:00,2023-07-19 14:37:00,O veículo existe e operou na linha indicada pelo recurso,844,47689,C,2023-07-19 14:30:09,2023-07-19 14:48:09
60,2023-07-19,844,47689,14:58:00,15:04:00,V,2023-07-19 14:58:00,2023-07-19 15:04:00,O veículo existe e operou na linha indicada pelo recurso,844,47689,C,2023-07-19 14:59:09,2023-07-19 15:12:39
61,2023-07-19,844,47689,15:19:00,15:25:00,V,2023-07-19 15:19:00,2023-07-19 15:25:00,O veículo existe e operou na linha indicada pelo recurso,844,47689,C,2023-07-19 15:20:09,2023-07-19 15:29:39
62,2023-07-19,844,47689,15:38:00,15:46:00,V,2023-07-19 15:38:00,2023-07-19 15:46:00,O veículo existe e operou na linha indicada pelo recurso,844,47689,C,2023-07-19 15:39:39,2023-07-19 15:53:09
63,2023-07-19,844,47689,16:00:00,16:09:00,V,2023-07-19 16:00:00,2023-07-19 16:09:00,O veículo existe e operou na linha indicada pelo recurso,844,47689,C,2023-07-19 16:02:39,2023-07-19 16:15:39
64,2023-07-19,844,47689,16:26:00,16:37:00,V,2023-07-19 16:26:00,2023-07-19 16:37:00,O veículo existe e operou na linha indicada pelo recurso,844,47689,C,2023-07-19 16:28:09,2023-07-19 16:48:39
65,2023-07-19,844,47689,17:01:00,17:10:00,V,2023-07-19 17:01:00,2023-07-19 17:10:00,O veículo existe e operou na linha indicada pelo recurso,844,47689,C,2023-07-19 17:02:39,2023-07-19 17:15:09
66,2023-07-19,844,47689,17:21:00,17:37:00,V,2023-07-19 17:21:00,2023-07-19 17:37:00,O veículo existe e operou na linha indicada pelo recurso,844,47689,C,2023-07-19 17:23:09,2023-07-19 17:42:09
67,2023-07-19,844,47689,17:48:00,17:59:00,V,2023-07-19 17:48:00,2023-07-19 17:59:00,O veículo existe e operou na linha indicada pelo recurso,844,47689,C,2023-07-19 17:48:39,2023-07-19 18:11:09
68,2023-07-19,844,47689,18:18:00,18:33:00,V,2023-07-19 18:18:00,2023-07-19 18:33:00,O veículo existe e operou na linha indicada pelo recurso,844,47689,C,2023-07-19 18:21:09,2023-07-19 18:42:39
69,2023-07-06,844,47689,10:21:00,10:28:00,I,2023-07-06 10:21:00,2023-07-06 10:28:00,"Encontrado sinal de GPS, mas sem dados em registros_status_viagem ",,,,,
70,2023-07-06,844,47689,10:38:00,10:50:00,I,2023-07-06 10:38:00,2023-07-06 10:50:00,Viagem inválida - a linha é circular,,,,,
71,2023-07-06,844,47689,10:59:00,11:08:00,I,2023-07-06 10:59:00,2023-07-06 11:08:00,Viagem inválida - a linha é circular,,,,,
72,2023-07-06,844,47689,11:17:00,11:26:00,I,2023-07-06 11:17:00,2023-07-06 11:26:00,Viagem inválida - a linha é circular,,,,,
73,2023-07-06,844,47689,11:35:00,11:43:00,I,2023-07-06 11:35:00,2023-07-06 11:43:00,Viagem inválida - a linha é circular,,,,,
74,2023-07-06,844,47689,11:50:00,12:03:00,I,2023-07-06 11:50:00,2023-07-06 12:03:00,Viagem inválida - a linha é circular,,,,,
75,2023-07-06,844,47689,12:10:00,12:16:00,I,2023-07-06 12:10:00,2023-07-06 12:16:00,Viagem inválida - a linha é circular,,,,,
76,2023-07-06,844,47689,12:23:00,12:32:00,I,2023-07-06 12:23:00,2023-07-06 12:32:00,Viagem inválida - a linha é circular,,,,,
77,2023-07-06,844,47689,12:40:00,12:51:00,I,2023-07-06 12:40:00,2023-07-06 12:51:00,Viagem inválida - a linha é circular,,,,,
78,2023-07-06,844,47689,13:00:00,13:07:00,I,2023-07-06 13:00:00,2023-07-06 13:07:00,Viagem inválida - a linha é circular,,,,,
79,2023-07-06,844,47689,13:16:00,13:26:00,I,2023-07-06 13:16:00,2023-07-06 13:26:00,Viagem inválida - a linha é circular,,,,,
80,2023-07-06,844,47689,13:37:00,13:47:00,I,2023-07-06 13:37:00,2023-07-06 13:47:00,Viagem inválida - a linha é circular,,,,,
81,2023-07-06,844,47689,13:58:00,14:08:00,I,2023-07-06 13:58:00,2023-07-06 14:08:00,Viagem inválida - a linha é circular,,,,,
82,2023-07-06,844,47689,14:18:00,14:29:00,I,2023-07-06 14:18:00,2023-07-06 14:29:00,Viagem inválida - a linha é circular,,,,,
83,2023-07-06,844,47689,14:39:00,14:50:00,I,2023-07-06 14:39:00,2023-07-06 14:50:00,Viagem inválida - a linha é circular,,,,,
84,2023-07-06,844,47689,14:59:00,15:08:00,I,2023-07-06 14:59:00,2023-07-06 15:08:00,Viagem inválida - a linha é circular,,,,,
85,2023-07-06,844,47689,15:20:00,15:33:00,I,2023-07-06 15:20:00,2023-07-06 15:33:00,Viagem inválida - a linha é circular,,,,,
86,2023-07-06,844,47689,15:44:00,15:55:00,I,2023-07-06 15:44:00,2023-07-06 15:55:00,Viagem inválida - a linha é circular,,,,,
87,2023-07-06,844,47689,16:04:00,16:11:00,I,2023-07-06 16:04:00,2023-07-06 16:11:00,Viagem inválida - a linha é circular,,,,,
88,2023-07-06,844,47689,16:24:00,16:32:00,I,2023-07-06 16:24:00,2023-07-06 16:32:00,Viagem inválida - a linha é circular,,,,,
89,2023-07-06,844,47689,16:44:00,16:54:00,I,2023-07-06 16:44:00,2023-07-06 16:54:00,Viagem inválida - a linha é circular,,,,,
